Emoji,ASCII Code,Hex Color
🙆‍♂️,128582,#b8a77c
🙆🏻‍♂️,128582,#dfc8a7
🙆🏼‍♂️,128582,#d2b792
🙆🏽‍♂️,128582,#c0a07d
🙆🏾‍♂️,128582,#ad8a66
🙆🏿‍♂️,128582,#8b7a64
🙆‍♀️,128582,#b8a77c
🙆🏻‍♀️,128582,#dfc8a7
🙆🏼‍♀️,128582,#d2b792
🙆🏽‍♀️,128582,#c0a07d
🙆🏾‍♀️,128582,#ad8a66
🙆🏿‍♀️,128582,#8b7a64
💁,128129,#d1b87a
💁🏻,128129,#e4ca9e
💁🏼,128129,#d9bc8d
💁🏽,128129,#caa97b
💁🏾,128129,#ba9769
💁🏿,128129,#9e8a67
💁‍♂️,128129,#d1b87a
💁🏻‍♂️,128129,#ebd2b0
💁🏼‍♂️,128129,#dbbd98
💁🏽‍♂️,128129,#c6a37e
💁🏾‍♂️,128129,#af8964
💁🏿‍♂️,128129,#877661
💁‍♀️,128129,#d1b87a
💁🏻‍♀️,128129,#ebd2b0
💁🏼‍♀️,128129,#dbbd98
💁🏽‍♀️,128129,#c6a37e
💁🏾‍♀️,128129,#af8964
💁🏿‍♀️,128129,#877661
🙋,128587,#d0b572
🙋🏻,128587,#e4c89a
🙋🏼,128587,#d9ba89
🙋🏽,128587,#caa877
🙋🏾,128587,#ba9665
🙋🏿,128587,#9e8963
🙋‍♂️,128587,#d0b572
🙋🏻‍♂️,128587,#efd2a6
🙋🏼‍♂️,128587,#e0be8f
🙋🏽‍♂️,128587,#cca476
🙋🏾‍♂️,128587,#b58b5c
🙋🏿‍♂️,128587,#8f795a
🙋‍♀️,128587,#d0b572
🙋🏻‍♀️,128587,#efd2a6
🙋🏼‍♀️,128587,#e0be8f
🙋🏽‍♀️,128587,#cca476
🙋🏾‍♀️,128587,#b58b5c
🙋🏿‍♀️,128587,#8f795a
🧏,129487,#cdaa54
🧏🏻,129487,#e3c48d
🧏🏼,129487,#d8b57c
🧏🏽,129487,#c9a269
🧏🏾,129487,#b89056
🧏🏿,129487,#9c8255
🧏‍♂️,129487,#cdaa54
🧏🏻‍♂️,129487,#e3c48f
🧏🏼‍♂️,129487,#d7b47c
🧏🏽‍♂️,129487,#c69f68
🧏🏾‍♂️,129487,#b48a53
🧏🏿‍♂️,129487,#947b51
🧏‍♀️,129487,#cdaa54
🧏🏻‍♀️,129487,#e3c48f
🧏🏼‍♀️,129487,#d7b47c
🧏🏽‍♀️,129487,#c69f68
